brand_name,model_name,screen_size,ram,storage,cpu,operating_system,price,rating,reviews,graphics,card_description
HP,HP Laptop,39.6 Centimetres,8 GB,512 GB,Core i3,Windows 11 Home,"35,490",3.4,41 ratings,Not available,Integrated
Dell,Inspiron 3520,15.6 Inches,16 GB,16 GB,Core i5,Windows 11 Home,"49,750",3.8,38 ratings,Not available,Integrated
HP,Laptop,40.9,16 GB,1 TB,Ryzen 7,Windows 11 Home,"1,11,990",4.0,116 ratings,Not available,Dedicated
HP,HP,15.6 Inches,8 GB,1 TB,Intel Core i5,Windows 11 Home,"50,990",3.0,6 ratings,Not available,Integrated
HP,HP Laptop,15.6 Inches,8 GB,512 GB,Core i5,Windows 11 Home,"47,999",4.0,101 ratings,Not available,Integrated
HP,15-fa1333tx,39.6 Centimetres,16 GB,1 TB,Intel Core i7,Windows 11 Home,"1,04,990",5.0,2 ratings,Not available,Dedicated
HP,HP Laptop,14 Inches,8 GB,512 GB,Intel Core i3,Windows 11 Home,"36,850",4.1,"1,170 ratings",Not available,Integrated
HP,HP Pavilion,14 Inches,16 GB,512 GB,Core i5,Windows 11 Home,"62,490",4.3,"2,009 ratings",Not available,Integrated
HP,15s-fy5010TU,15.6 Inches,8 GB,256 GB,Intel Core i3,Windows 11 Home,"35,990",Null,Null,Not available,Integrated
HP,Laptop,39.6 Centimetres,16 GB,512 GB,Core i7,Windows 11 Home,"89,990",4.1,7 ratings,Not available,Dedicated
HP,HP Laptop,39.6 Centimetres,8 GB,512 GB,Ryzen 3,Windows 11 Home,"31,800",4.0,54 ratings,Not available,Integrated
HP,HP Laptop,39.6 Centimetres,16 GB,512 GB,Intel Core i5,Windows 11 Home,"66,990",2.9,6 ratings,Not available,Integrated
Dell,Latitue 5490,14 Inches,16 GB,512 GB,Core i5 Family,Windows 10 Pro,Null,3.1,702 ratings,Not available,Integrated
Dell,Vostro 3430,14 Inches,8 GB,Null,Core i3,Windows 11 Home,"37,990",4.1,31 ratings,Not available,Integrated
HP,15-fa1317X,39.6 Centimetres,16 GB,1 TB,Intel Core i5,Windows 11 Home,"83,990",3.9,28 ratings,Not available,Dedicated
HP,14-ew0116TU,14 Inches,16 GB,512 GB,Core i5,Windows 11 Home,"68,990",3.9,18 ratings,Not available,Integrated
Dell,5490-cr,14 Inches,16 GB,512 GB,Core i5 Family,Windows 10 Pro,Null,3.6,494 ratings,Not available,Integrated
HP,15s-fq3066TU,39.6 Centimetres,8 GB,512 GB,Celeron N,Windows 11 Home,"27,990",3.1,61 ratings,Not available,Integrated
Dell,Vostro,15.6 Inches,16 GB,80 TB,Core i5,Windows 11 Home,"52,490",3.5,31 ratings,Not available,Integrated
Dell,Vostro,14 Inches,8 GB,Null,Core i5,Windows 11 Home,"45,990",3.7,96 ratings,Intel,Integrated
HP,HP Laptop,15.6 Inches,8 GB,512 GB,Ryzen 3,Windows 11 Home,"33,990",4.3,31 ratings,Not available,Integrated
HP,15-fa1319X,39.6 Centimetres,16 GB,512 GB,Intel Core i5,Windows 11 Home,"79,990",4.0,42 ratings,Not available,Dedicated
HP,15-fa1307TX,39.6 Centimetres,16 GB,1 TB,Intel Core i5,Windows 11 Home,"67,990",3.4,29 ratings,Not available,Dedicated
HP,HP Laptop,15.6 Inches,8 GB,512 GB,Core i5,Windows 11 Home,"56,990",3.6,13 ratings,Not available,Integrated
HP,HP Laptop,39.6 Centimetres,8 GB,512 GB,Core i3,Windows 11 Home,"35,490",3.4,41 ratings,Not available,Integrated
Dell,Inspiron 3520,15.6 Inches,16 GB,16 GB,Core i5,Windows 11 Home,"49,750",3.8,38 ratings,Not available,Integrated
HP,Laptop,40.9,16 GB,1 TB,Ryzen 7,Windows 11 Home,"1,11,990",4.0,116 ratings,Not available,Dedicated
HP,HP,15.6 Inches,8 GB,1 TB,Intel Core i5,Windows 11 Home,"50,990",3.0,6 ratings,Not available,Integrated
HP,HP Laptop,15.6 Inches,8 GB,512 GB,Core i5,Windows 11 Home,"47,999",4.0,101 ratings,Not available,Integrated
HP,15-fa1333tx,39.6 Centimetres,16 GB,1 TB,Intel Core i7,Windows 11 Home,"1,04,990",5.0,2 ratings,Not available,Dedicated
HP,HP Laptop,14 Inches,8 GB,512 GB,Intel Core i3,Windows 11 Home,"36,850",4.1,"1,170 ratings",Not available,Integrated
HP,HP Pavilion,14 Inches,16 GB,512 GB,Core i5,Windows 11 Home,"62,490",4.3,"2,009 ratings",Not available,Integrated
HP,15s-fy5010TU,15.6 Inches,8 GB,256 GB,Intel Core i3,Windows 11 Home,"35,990",Null,Null,Not available,Integrated
HP,Laptop,39.6 Centimetres,16 GB,512 GB,Core i7,Windows 11 Home,"89,990",4.1,7 ratings,Not available,Dedicated
HP,HP Laptop,39.6 Centimetres,8 GB,512 GB,Ryzen 3,Windows 11 Home,"31,800",4.0,54 ratings,Not available,Integrated
HP,HP Laptop,39.6 Centimetres,16 GB,512 GB,Intel Core i5,Windows 11 Home,"66,990",2.9,6 ratings,Not available,Integrated
Dell,Latitue 5490,14 Inches,16 GB,512 GB,Core i5 Family,Windows 10 Pro,Null,3.1,702 ratings,Not available,Integrated
Dell,Vostro 3430,14 Inches,8 GB,Null,Core i3,Windows 11 Home,"37,990",4.1,31 ratings,Not available,Integrated
HP,15-fa1317X,39.6 Centimetres,16 GB,1 TB,Intel Core i5,Windows 11 Home,"83,990",3.9,28 ratings,Not available,Dedicated
HP,14-ew0116TU,14 Inches,16 GB,512 GB,Core i5,Windows 11 Home,"68,990",3.9,18 ratings,Not available,Integrated
Dell,5490-cr,14 Inches,16 GB,512 GB,Core i5 Family,Windows 10 Pro,Null,3.6,494 ratings,Not available,Integrated
HP,15s-fq3066TU,39.6 Centimetres,8 GB,512 GB,Celeron N,Windows 11 Home,"27,990",3.1,61 ratings,Not available,Integrated
Dell,Vostro,15.6 Inches,16 GB,80 TB,Core i5,Windows 11 Home,"52,490",3.5,31 ratings,Not available,Integrated
Dell,Vostro,14 Inches,8 GB,Null,Core i5,Windows 11 Home,"45,990",3.7,96 ratings,Intel,Integrated
HP,HP Laptop,15.6 Inches,8 GB,512 GB,Ryzen 3,Windows 11 Home,"33,990",4.3,31 ratings,Not available,Integrated
HP,15-fa1319X,39.6 Centimetres,16 GB,512 GB,Intel Core i5,Windows 11 Home,"79,990",4.0,42 ratings,Not available,Dedicated
HP,15-fa1307TX,39.6 Centimetres,16 GB,1 TB,Intel Core i5,Windows 11 Home,"67,990",3.4,29 ratings,Not available,Dedicated
HP,HP Laptop,15.6 Inches,8 GB,512 GB,Core i5,Windows 11 Home,"56,990",3.6,13 ratings,Not available,Integrated
HP,HP Laptop,39.6 Centimetres,8 GB,512 GB,Core i3,Windows 11 Home,"35,490",3.4,41 ratings,Not available,Integrated
Dell,Inspiron 3520,15.6 Inches,16 GB,16 GB,Core i5,Windows 11 Home,"49,750",3.8,38 ratings,Not available,Integrated
HP,Laptop,40.9,16 GB,1 TB,Ryzen 7,Windows 11 Home,"1,11,990",4.0,116 ratings,Not available,Dedicated
HP,HP,15.6 Inches,8 GB,1 TB,Intel Core i5,Windows 11 Home,"50,990",3.0,6 ratings,Not available,Integrated
HP,HP Laptop,15.6 Inches,8 GB,512 GB,Core i5,Windows 11 Home,"47,999",4.0,101 ratings,Not available,Integrated
HP,15-fa1333tx,39.6 Centimetres,16 GB,1 TB,Intel Core i7,Windows 11 Home,"1,04,990",5.0,2 ratings,Not available,Dedicated
HP,HP Laptop,14 Inches,8 GB,512 GB,Intel Core i3,Windows 11 Home,"36,850",4.1,"1,170 ratings",Not available,Integrated
HP,HP Pavilion,14 Inches,16 GB,512 GB,Core i5,Windows 11 Home,"62,490",4.3,"2,009 ratings",Not available,Integrated
HP,15s-fy5010TU,15.6 Inches,8 GB,256 GB,Intel Core i3,Windows 11 Home,"35,990",Null,Null,Not available,Integrated
HP,Laptop,39.6 Centimetres,16 GB,512 GB,Core i7,Windows 11 Home,"89,990",4.1,7 ratings,Not available,Dedicated
HP,HP Laptop,39.6 Centimetres,8 GB,512 GB,Ryzen 3,Windows 11 Home,"31,800",4.0,54 ratings,Not available,Integrated
HP,HP Laptop,39.6 Centimetres,16 GB,512 GB,Intel Core i5,Windows 11 Home,"66,990",2.9,6 ratings,Not available,Integrated
Dell,Latitue 5490,14 Inches,16 GB,512 GB,Core i5 Family,Windows 10 Pro,Null,3.1,702 ratings,Not available,Integrated
Dell,Vostro 3430,14 Inches,8 GB,Null,Core i3,Windows 11 Home,"37,990",4.1,31 ratings,Not available,Integrated
HP,15-fa1317X,39.6 Centimetres,16 GB,1 TB,Intel Core i5,Windows 11 Home,"83,990",3.9,28 ratings,Not available,Dedicated
HP,14-ew0116TU,14 Inches,16 GB,512 GB,Core i5,Windows 11 Home,"68,990",3.9,18 ratings,Not available,Integrated
Dell,5490-cr,14 Inches,16 GB,512 GB,Core i5 Family,Windows 10 Pro,Null,3.6,494 ratings,Not available,Integrated
HP,15s-fq3066TU,39.6 Centimetres,8 GB,512 GB,Celeron N,Windows 11 Home,"27,990",3.1,61 ratings,Not available,Integrated
Dell,Vostro,15.6 Inches,16 GB,80 TB,Core i5,Windows 11 Home,"52,490",3.5,31 ratings,Not available,Integrated
Dell,Vostro,14 Inches,8 GB,Null,Core i5,Windows 11 Home,"45,990",3.7,96 ratings,Intel,Integrated
HP,HP Laptop,15.6 Inches,8 GB,512 GB,Ryzen 3,Windows 11 Home,"33,990",4.3,31 ratings,Not available,Integrated
HP,15-fa1319X,39.6 Centimetres,16 GB,512 GB,Intel Core i5,Windows 11 Home,"79,990",4.0,42 ratings,Not available,Dedicated
HP,15-fa1307TX,39.6 Centimetres,16 GB,1 TB,Intel Core i5,Windows 11 Home,"67,990",3.4,29 ratings,Not available,Dedicated
HP,HP Laptop,15.6 Inches,8 GB,512 GB,Core i5,Windows 11 Home,"56,990",3.6,13 ratings,Not available,Integrated
HP,HP Laptop,39.6 Centimetres,8 GB,512 GB,Core i3,Windows 11 Home,"35,490",3.4,41 ratings,Not available,Integrated
Dell,Inspiron 3520,15.6 Inches,16 GB,16 GB,Core i5,Windows 11 Home,"49,750",3.8,38 ratings,Not available,Integrated
HP,Laptop,40.9,16 GB,1 TB,Ryzen 7,Windows 11 Home,"1,11,990",4.0,116 ratings,Not available,Dedicated
HP,HP,15.6 Inches,8 GB,1 TB,Intel Core i5,Windows 11 Home,"50,990",3.0,6 ratings,Not available,Integrated
HP,HP Laptop,15.6 Inches,8 GB,512 GB,Core i5,Windows 11 Home,"47,999",4.0,101 ratings,Not available,Integrated
HP,15-fa1333tx,39.6 Centimetres,16 GB,1 TB,Intel Core i7,Windows 11 Home,"1,04,990",5.0,2 ratings,Not available,Dedicated
HP,HP Laptop,14 Inches,8 GB,512 GB,Intel Core i3,Windows 11 Home,"36,850",4.1,"1,170 ratings",Not available,Integrated
HP,HP Pavilion,14 Inches,16 GB,512 GB,Core i5,Windows 11 Home,"62,490",4.3,"2,009 ratings",Not available,Integrated
HP,15s-fy5010TU,15.6 Inches,8 GB,256 GB,Intel Core i3,Windows 11 Home,"35,990",Null,Null,Not available,Integrated
HP,Laptop,39.6 Centimetres,16 GB,512 GB,Core i7,Windows 11 Home,"89,990",4.1,7 ratings,Not available,Dedicated
HP,HP Laptop,39.6 Centimetres,8 GB,512 GB,Ryzen 3,Windows 11 Home,"31,800",4.0,54 ratings,Not available,Integrated
HP,HP Laptop,39.6 Centimetres,16 GB,512 GB,Intel Core i5,Windows 11 Home,"66,990",2.9,6 ratings,Not available,Integrated
Dell,Latitue 5490,14 Inches,16 GB,512 GB,Core i5 Family,Windows 10 Pro,Null,3.1,702 ratings,Not available,Integrated
Dell,Vostro 3430,14 Inches,8 GB,Null,Core i3,Windows 11 Home,"37,990",4.1,31 ratings,Not available,Integrated
HP,15-fa1317X,39.6 Centimetres,16 GB,1 TB,Intel Core i5,Windows 11 Home,"83,990",3.9,28 ratings,Not available,Dedicated
HP,14-ew0116TU,14 Inches,16 GB,512 GB,Core i5,Windows 11 Home,"68,990",3.9,18 ratings,Not available,Integrated
Dell,5490-cr,14 Inches,16 GB,512 GB,Core i5 Family,Windows 10 Pro,Null,3.6,494 ratings,Not available,Integrated
HP,15s-fq3066TU,39.6 Centimetres,8 GB,512 GB,Celeron N,Windows 11 Home,"27,990",3.1,61 ratings,Not available,Integrated
Dell,Vostro,15.6 Inches,16 GB,80 TB,Core i5,Windows 11 Home,"52,490",3.5,31 ratings,Not available,Integrated
Dell,Vostro,14 Inches,8 GB,Null,Core i5,Windows 11 Home,"45,990",3.7,96 ratings,Intel,Integrated
HP,HP Laptop,15.6 Inches,8 GB,512 GB,Ryzen 3,Windows 11 Home,"33,990",4.3,31 ratings,Not available,Integrated
HP,15-fa1319X,39.6 Centimetres,16 GB,512 GB,Intel Core i5,Windows 11 Home,"79,990",4.0,42 ratings,Not available,Dedicated
HP,15-fa1307TX,39.6 Centimetres,16 GB,1 TB,Intel Core i5,Windows 11 Home,"67,990",3.4,29 ratings,Not available,Dedicated
HP,HP Laptop,15.6 Inches,8 GB,512 GB,Core i5,Windows 11 Home,"56,990",3.6,13 ratings,Not available,Integrated
HP,HP Laptop,39.6 Centimetres,8 GB,512 GB,Core i3,Windows 11 Home,"35,490",3.4,41 ratings,Not available,Integrated
Dell,Inspiron 3520,15.6 Inches,16 GB,16 GB,Core i5,Windows 11 Home,"49,750",3.8,38 ratings,Not available,Integrated
HP,Laptop,40.9,16 GB,1 TB,Ryzen 7,Windows 11 Home,"1,11,990",4.0,116 ratings,Not available,Dedicated
HP,HP,15.6 Inches,8 GB,1 TB,Intel Core i5,Windows 11 Home,"50,990",3.0,6 ratings,Not available,Integrated
HP,HP Laptop,15.6 Inches,8 GB,512 GB,Core i5,Windows 11 Home,"47,999",4.0,101 ratings,Not available,Integrated
HP,15-fa1333tx,39.6 Centimetres,16 GB,1 TB,Intel Core i7,Windows 11 Home,"1,04,990",5.0,2 ratings,Not available,Dedicated
HP,HP Laptop,14 Inches,8 GB,512 GB,Intel Core i3,Windows 11 Home,"36,850",4.1,"1,170 ratings",Not available,Integrated
HP,HP Pavilion,14 Inches,16 GB,512 GB,Core i5,Windows 11 Home,"62,490",4.3,"2,009 ratings",Not available,Integrated
HP,15s-fy5010TU,15.6 Inches,8 GB,256 GB,Intel Core i3,Windows 11 Home,"35,990",Null,Null,Not available,Integrated
HP,Laptop,39.6 Centimetres,16 GB,512 GB,Core i7,Windows 11 Home,"89,990",4.1,7 ratings,Not available,Dedicated
HP,HP Laptop,39.6 Centimetres,8 GB,512 GB,Ryzen 3,Windows 11 Home,"31,800",4.0,54 ratings,Not available,Integrated
HP,HP Laptop,39.6 Centimetres,16 GB,512 GB,Intel Core i5,Windows 11 Home,"66,990",2.9,6 ratings,Not available,Integrated
Dell,Latitue 5490,14 Inches,16 GB,512 GB,Core i5 Family,Windows 10 Pro,Null,3.1,702 ratings,Not available,Integrated
Dell,Vostro 3430,14 Inches,8 GB,Null,Core i3,Windows 11 Home,"37,990",4.1,31 ratings,Not available,Integrated
HP,15-fa1317X,39.6 Centimetres,16 GB,1 TB,Intel Core i5,Windows 11 Home,"83,990",3.9,28 ratings,Not available,Dedicated
HP,14-ew0116TU,14 Inches,16 GB,512 GB,Core i5,Windows 11 Home,"68,990",3.9,18 ratings,Not available,Integrated
Dell,5490-cr,14 Inches,16 GB,512 GB,Core i5 Family,Windows 10 Pro,Null,3.6,494 ratings,Not available,Integrated
HP,15s-fq3066TU,39.6 Centimetres,8 GB,512 GB,Celeron N,Windows 11 Home,"27,990",3.1,61 ratings,Not available,Integrated
Dell,Vostro,15.6 Inches,16 GB,80 TB,Core i5,Windows 11 Home,"52,490",3.5,31 ratings,Not available,Integrated
Dell,Vostro,14 Inches,8 GB,Null,Core i5,Windows 11 Home,"45,990",3.7,96 ratings,Intel,Integrated
HP,HP Laptop,15.6 Inches,8 GB,512 GB,Ryzen 3,Windows 11 Home,"33,990",4.3,31 ratings,Not available,Integrated
HP,15-fa1319X,39.6 Centimetres,16 GB,512 GB,Intel Core i5,Windows 11 Home,"79,990",4.0,42 ratings,Not available,Dedicated
HP,15-fa1307TX,39.6 Centimetres,16 GB,1 TB,Intel Core i5,Windows 11 Home,"67,990",3.4,29 ratings,Not available,Dedicated
HP,HP Laptop,15.6 Inches,8 GB,512 GB,Core i5,Windows 11 Home,"56,990",3.6,13 ratings,Not available,Integrated
HP,HP Laptop,39.6 Centimetres,8 GB,512 GB,Core i3,Windows 11 Home,"35,490",3.4,41 ratings,Not available,Integrated
Dell,Inspiron 3520,15.6 Inches,16 GB,16 GB,Core i5,Windows 11 Home,"49,750",3.8,38 ratings,Not available,Integrated
HP,Laptop,40.9,16 GB,1 TB,Ryzen 7,Windows 11 Home,"1,11,990",4.0,116 ratings,Not available,Dedicated
HP,HP,15.6 Inches,8 GB,1 TB,Intel Core i5,Windows 11 Home,"50,990",3.0,6 ratings,Not available,Integrated
HP,HP Laptop,15.6 Inches,8 GB,512 GB,Core i5,Windows 11 Home,"47,999",4.0,101 ratings,Not available,Integrated
HP,15-fa1333tx,39.6 Centimetres,16 GB,1 TB,Intel Core i7,Windows 11 Home,"1,04,990",5.0,2 ratings,Not available,Dedicated
HP,HP Laptop,14 Inches,8 GB,512 GB,Intel Core i3,Windows 11 Home,"36,850",4.1,"1,170 ratings",Not available,Integrated
HP,HP Pavilion,14 Inches,16 GB,512 GB,Core i5,Windows 11 Home,"62,490",4.3,"2,009 ratings",Not available,Integrated
HP,15s-fy5010TU,15.6 Inches,8 GB,256 GB,Intel Core i3,Windows 11 Home,"35,990",Null,Null,Not available,Integrated
HP,Laptop,39.6 Centimetres,16 GB,512 GB,Core i7,Windows 11 Home,"89,990",4.1,7 ratings,Not available,Dedicated
HP,HP Laptop,39.6 Centimetres,8 GB,512 GB,Ryzen 3,Windows 11 Home,"31,800",4.0,54 ratings,Not available,Integrated
HP,HP Laptop,39.6 Centimetres,16 GB,512 GB,Intel Core i5,Windows 11 Home,"66,990",2.9,6 ratings,Not available,Integrated
Dell,Latitue 5490,14 Inches,16 GB,512 GB,Core i5 Family,Windows 10 Pro,Null,3.1,702 ratings,Not available,Integrated
Dell,Vostro 3430,14 Inches,8 GB,Null,Core i3,Windows 11 Home,"37,990",4.1,31 ratings,Not available,Integrated
HP,15-fa1317X,39.6 Centimetres,16 GB,1 TB,Intel Core i5,Windows 11 Home,"83,990",3.9,28 ratings,Not available,Dedicated
HP,14-ew0116TU,14 Inches,16 GB,512 GB,Core i5,Windows 11 Home,"68,990",3.9,18 ratings,Not available,Integrated
Dell,5490-cr,14 Inches,16 GB,512 GB,Core i5 Family,Windows 10 Pro,Null,3.6,494 ratings,Not available,Integrated
HP,15s-fq3066TU,39.6 Centimetres,8 GB,512 GB,Celeron N,Windows 11 Home,"27,990",3.1,61 ratings,Not available,Integrated
Dell,Vostro,15.6 Inches,16 GB,80 TB,Core i5,Windows 11 Home,"52,490",3.5,31 ratings,Not available,Integrated
Dell,Vostro,14 Inches,8 GB,Null,Core i5,Windows 11 Home,"45,990",3.7,96 ratings,Intel,Integrated
HP,HP Laptop,15.6 Inches,8 GB,512 GB,Ryzen 3,Windows 11 Home,"33,990",4.3,31 ratings,Not available,Integrated
HP,15-fa1319X,39.6 Centimetres,16 GB,512 GB,Intel Core i5,Windows 11 Home,"79,990",4.0,42 ratings,Not available,Dedicated
HP,15-fa1307TX,39.6 Centimetres,16 GB,1 TB,Intel Core i5,Windows 11 Home,"67,990",3.4,29 ratings,Not available,Dedicated
HP,HP Laptop,15.6 Inches,8 GB,512 GB,Core i5,Windows 11 Home,"56,990",3.6,13 ratings,Not available,Integrated
HP,HP Laptop,39.6 Centimetres,8 GB,512 GB,Core i3,Windows 11 Home,"35,490",3.4,41 ratings,Not available,Integrated
HP,Laptop,40.9,16 GB,1 TB,Ryzen 7,Windows 11 Home,"1,11,990",4.0,116 ratings,Not available,Dedicated
Dell,Inspiron 3520,15.6 Inches,16 GB,16 GB,Core i5,Windows 11 Home,"49,750",3.8,38 ratings,Not available,Integrated
HP,HP,15.6 Inches,8 GB,1 TB,Intel Core i5,Windows 11 Home,"50,990",3.0,6 ratings,Not available,Integrated
HP,HP Laptop,15.6 Inches,8 GB,512 GB,Core i5,Windows 11 Home,"47,999",4.0,101 ratings,Not available,Integrated
HP,15-fa1333tx,39.6 Centimetres,16 GB,1 TB,Intel Core i7,Windows 11 Home,"1,04,990",5.0,2 ratings,Not available,Dedicated
HP,HP Laptop,14 Inches,8 GB,512 GB,Intel Core i3,Windows 11 Home,"36,850",4.1,"1,170 ratings",Not available,Integrated
HP,HP Pavilion,14 Inches,16 GB,512 GB,Core i5,Windows 11 Home,"62,490",4.3,"2,009 ratings",Not available,Integrated
HP,15s-fy5010TU,15.6 Inches,8 GB,256 GB,Intel Core i3,Windows 11 Home,"35,990",Null,Null,Not available,Integrated
HP,Laptop,39.6 Centimetres,16 GB,512 GB,Core i7,Windows 11 Home,"89,990",4.1,7 ratings,Not available,Dedicated
HP,HP Laptop,39.6 Centimetres,8 GB,512 GB,Ryzen 3,Windows 11 Home,"31,749",4.0,54 ratings,Not available,Integrated
HP,HP Laptop,39.6 Centimetres,16 GB,512 GB,Intel Core i5,Windows 11 Home,"66,990",2.9,6 ratings,Not available,Integrated
Dell,Latitue 5490,14 Inches,16 GB,512 GB,Core i5 Family,Windows 10 Pro,Null,3.1,702 ratings,Not available,Integrated
Dell,Vostro 3430,14 Inches,8 GB,Null,Core i3,Windows 11 Home,"37,990",4.1,31 ratings,Not available,Integrated
HP,15-fa1317X,39.6 Centimetres,16 GB,1 TB,Intel Core i5,Windows 11 Home,"83,990",3.9,28 ratings,Not available,Dedicated
HP,14-ew0116TU,14 Inches,16 GB,512 GB,Core i5,Windows 11 Home,"68,990",3.9,18 ratings,Not available,Integrated
Dell,5490-cr,14 Inches,16 GB,512 GB,Core i5 Family,Windows 10 Pro,Null,3.6,494 ratings,Not available,Integrated
HP,15s-fq3066TU,39.6 Centimetres,8 GB,512 GB,Celeron N,Windows 11 Home,"27,990",3.1,61 ratings,Not available,Integrated
Dell,Vostro,15.6 Inches,16 GB,80 TB,Core i5,Windows 11 Home,"52,490",3.5,31 ratings,Not available,Integrated
Dell,Vostro,14 Inches,8 GB,Null,Core i5,Windows 11 Home,"45,990",3.7,96 ratings,Intel,Integrated
HP,HP Laptop,15.6 Inches,8 GB,512 GB,Ryzen 3,Windows 11 Home,"33,990",4.3,31 ratings,Not available,Integrated
HP,15-fa1319X,39.6 Centimetres,16 GB,512 GB,Intel Core i5,Windows 11 Home,"79,990",4.0,42 ratings,Not available,Dedicated
HP,15-fa1307TX,39.6 Centimetres,16 GB,1 TB,Intel Core i5,Windows 11 Home,"67,990",3.4,29 ratings,Not available,Dedicated
HP,HP Laptop,15.6 Inches,8 GB,512 GB,Core i5,Windows 11 Home,"56,990",3.6,13 ratings,Not available,Integrated
HP,HP Laptop,39.6 Centimetres,8 GB,512 GB,Core i3,Windows 11 Home,"35,490",3.4,41 ratings,Not available,Integrated
HP,Laptop,40.9,16 GB,1 TB,Ryzen 7,Windows 11 Home,"1,11,990",4.0,116 ratings,Not available,Dedicated
Dell,Inspiron 3520,15.6 Inches,16 GB,16 GB,Core i5,Windows 11 Home,"49,750",3.8,38 ratings,Not available,Integrated
HP,HP,15.6 Inches,8 GB,1 TB,Intel Core i5,Windows 11 Home,"50,990",3.0,6 ratings,Not available,Integrated
HP,HP Laptop,15.6 Inches,8 GB,512 GB,Core i5,Windows 11 Home,"47,999",4.0,101 ratings,Not available,Integrated
HP,15-fa1333tx,39.6 Centimetres,16 GB,1 TB,Intel Core i7,Windows 11 Home,"1,04,990",5.0,2 ratings,Not available,Dedicated
HP,HP Laptop,14 Inches,8 GB,512 GB,Intel Core i3,Windows 11 Home,"36,850",4.1,"1,170 ratings",Not available,Integrated
HP,HP Pavilion,14 Inches,16 GB,512 GB,Core i5,Windows 11 Home,"62,490",4.3,"2,009 ratings",Not available,Integrated
HP,15s-fy5010TU,15.6 Inches,8 GB,256 GB,Intel Core i3,Windows 11 Home,"35,990",Null,Null,Not available,Integrated
HP,Laptop,39.6 Centimetres,16 GB,512 GB,Core i7,Windows 11 Home,"89,990",4.1,7 ratings,Not available,Dedicated
